H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000009307	0.06	0.05	0.05	0.04	0.05	0.06	0.02	0.05	0.08	0.17	0.1	0.09
ENSG00000009335	0.65	0.98	2.78	4.96	3.68	5.01	6.55	9.46	9.46	7.79	6.89	8.12
ENSG00000009413	6.86	8.37	6.52	7.44	7.93	11.03	11.85	12.82	10.1	12.71	8.58	8.19
ENSG00000009765	5.97	6.18	4.88	4.1	4.91	3.63	4.09	1.41	0.39	0.17	0.15	0.11
ENSG00000009780	0.13	0.1	0.16	0.24	0.22	0.23	0.1	0.17	0.12	0.08	0.16	0.06
ENSG00000009790	6.48	7.83	5.76	7.11	7.08	6.71	7.37	7.81	8.93	6.72	5.8	5.82
ENSG00000009830	1.66	1.06	3.02	2	2.15	2.14	0.53	1.25	0.38	0.67	1.8	1.94
ENSG00000009844	0.07	0.07	0.03	0.07	0.06	0.06	0.06	0.06	0.09	0.04	0.09	0.07
ENSG00000009954	17.78	16.84	16.28	17.08	21.2	21.89	20.34	17.93	17.97	18.09	13.24	13.37
ENSG00000010017	5.86	7.36	6.19	6.08	4.33	6.26	6.1	4.75	6.31	7.78	16.07	19.6
ENSG00000010072	9.45	8.27	6.87	4.96	6.46	6.12	6.99	4.04	3.96	4.13	3.99	5.66
ENSG00000010165	0.07	0.04	0.14	0.06	0.06	0.1	0.06	0.13	0.05	0.15	0.12	0.18
ENSG00000010219	0.07	0.09	0.05	0.02	0.07	0.07	0.05	0.06	0.1	0.05	0.22	5.41
ENSG00000010244	0.15	0.17	0.29	0.47	0.29	0.57	0.76	1.61	0.77	1.04	0.94	3.43
ENSG00000010256	0.58	3.6	3.86	5.67	4.04	6.07	6.37	6.44	5.27	6.32	4.14	4.28
ENSG00000010270	0.05	0.03	0.03	0.03	0.02	0.02	0.06	0.04	0.04	0.09	0.2	0.27
ENSG00000010278	9.65	10.18	8.91	9.12	7.54	6.67	7.43	7.7	6.71	7.8	4.34	4.61
ENSG00000010292	0.46	0.23	0.16	0.2	0.32	0.32	0.18	0.18	0.21	0.16	0.24	0.24
ENSG00000010295	3.52	0.96	2.36	3.36	4.25	3.18	1.37	3.67	2.45	2.52	3.34	3.35
ENSG00000010318	5.44	3.34	5.28	5.1	3.98	4.54	4.18	4.4	5.97	7.67	3.55	6.32
ENSG00000010322	1.3	1.54	2.38	1.12	0.89	3.11	4.51	4.18	6.62	6.21	7.26	6.84
ENSG00000010327	18.15	14.1	17.39	21.19	22.5	32.19	42.64	47.54	51.71	53.89	53.89	53.89
ENSG00000010361	7.78	5.46	8.6	9.9	6.12	6.14	9.22	5.71	6.93	9.82	6.78	6.32
ENSG00000010404	3.96	4.97	8.04	5.49	4.58	5.4	4.51	5.41	8.11	4.12	3.96	3.12
ENSG00000010539	0.18	0.67	0.23	0.21	0.2	0.13	0.13	0.09	0.07	0.08	0.07	0.05
ENSG00000010610	13.41	13.52	13.89	12.88	14.05	8.92	11.07	8.73	5.44	6.07	8.7	7.51
ENSG00000010626	11.96	11.1	11.71	14.14	11.74	11.18	9.06	12.6	15.58	16.58	12.48	9.98
ENSG00000010671	4.65	5.65	4.37	5.56	4.47	4.31	3.64	3.17	3.79	3.11	2.49	4.44
ENSG00000010803	19.43	19.15	15.1	12.8	16.11	16.17	14.4	13.35	8.3	14.15	9.3	12.1
ENSG00000010810	0.16	0.16	2.03	0.11	1.59	0.09	0.13	0.11	0.11	0.12	0.07	0.04
ENSG00000010818	4.41	4.83	4.62	5.56	4.62	3.37	3.27	3.4	4.68	4.47	4.85	5.01
ENSG00000011007	0.31	0.68	0.32	0.31	0.27	0.27	0.16	0.18	0.12	0.1	0.13	0.12
ENSG00000011009	0.34	0.21	0.29	0.6	0.36	0.35	0.34	0.38	0.34	2.04	5.99	5.6
ENSG00000011021	12.1	16.3	15.14	12.93	17.1	9.97	17.72	14.33	9.05	9.51	7.29	7.65
ENSG00000011028	8.03	5.95	5.67	5.86	5.83	7.81	9.35	5.17	8.05	10.95	7.6	8.4
ENSG00000011052	0.1	0.15	0.19	0.17	0.06	0.14	0.12	0.1	0.06	0.15	0.1	0.13
ENSG00000011105	13.72	14.25	10.28	10.6	11.15	11.04	9.22	7.1	6.5	2.9	0.64	2.47
ENSG00000011114	0.11	0.13	0.05	0.19	0.05	0.14	0.11	0.08	0.09	0.07	0.11	0.11
ENSG00000011132	3.43	3.56	2.96	4.13	4.65	4.79	4.5	6.7	7.55	8.51	7.72	5.2
ENSG00000011143	0.09	0.06	0.06	0.26	0.17	0.29	4.56	2.66	5.01	5.85	6.71	6.99
ENSG00000011198	0.08	0.06	0.06	0.05	0.1	0.05	0.08	0.06	0.06	0.05	0.05	0.04
ENSG00000011243	11.97	7.61	10.86	7.36	10.42	9.49	10.31	9.49	8.31	3.78	3.4	4.66
ENSG00000011258	7.4	7.28	6.69	4.66	7.53	8.91	6.7	7.92	8.99	9.08	11.97	13.79
ENSG00000011260	8.01	10.93	8.35	6.25	10.64	9.85	10.67	10.3	4.69	5.8	6.74	10.8
ENSG00000011275	0.37	0.23	0.76	2.21	0.26	0.1	0.07	0.18	0.11	0.09	0.05	0.03
ENSG00000011295	0.12	0.65	0.82	0.89	2.88	2.72	3.2	5.19	5.06	3.85	6.03	6.17
ENSG00000011304	4.52	4.76	2.44	2.93	4.14	3.71	1.85	4.75	4.19	6.21	4.69	1.89
ENSG00000011376	0.09	0.16	0.07	0.06	0.07	0.08	0.07	0.05	0.08	0.04	0.04	0.08
ENSG00000011405	5.38	5.8	5.45	5.78	7.9	8.48	8.68	9.44	8.57	14.06	14.08	18.28
ENSG00000011422	3.75	3.8	11.29	8.84	9.66	10.63	13.46	15.45	15.2	20.7	20.23	22.19
ENSG00000011426	0.09	0.08	0.04	0.05	0.09	0.09	0.09	0.05	0.06	0.05	0.05	0.1
ENSG00000011451	3.95	4.97	3.52	4.18	3.05	1.29	1.54	0.85	0.8	0.32	0.23	0.23
ENSG00000011454	0.19	0.19	0.21	0.16	0.26	0.21	0.21	0.12	0.12	0.24	1.04	2.19
ENSG00000011478	3.19	2.61	3.76	3.42	3.36	2.34	1.19	3.22	1.61	3.63	0.36	1.88
ENSG00000011485	11.33	10.23	9.85	11.34	11.15	9.2	7.44	8.11	4.92	3.51	0.37	0.26
ENSG00000011523	13.52	16.28	14.27	13.76	18.79	17.19	15.63	14.92	14.97	18.65	21.99	25.26
ENSG00000011566	1.91	0.77	0.35	0.79	0.47	3.72	4.06	1.39	2.42	7.19	6.58	9.01
ENSG00000011600	6.38	8.09	6.34	11.82	7.59	10.18	9.72	11.69	12.82	22.04	24.83	17.92
ENSG00000011638	0.06	0.06	0.04	0.05	0.06	0.12	0.08	0.06	0.08	0.04	0.05	0.04
ENSG00000012048	9.75	8.14	10.52	11.09	11.6	16.57	15.34	10.79	15.56	13.09	13.22	11.81
ENSG00000012061	0.5	0.56	0.32	0.18	0.36	0.2	0.14	0.18	0.24	0.13	1.3	0.13
ENSG00000012124	17.73	17.35	18.75	18.47	20.25	19.58	25.23	17.79	20.45	15.09	18.23	16.53
ENSG00000012174	0.09	0.09	0.08	0.11	0.08	0.09	0.12	0.07	0.08	0.05	0.08	0.09
ENSG00000012211	3.87	3.71	6.02	5.35	5.68	6.63	6.86	7.38	7.76	5.21	4.03	3.02
ENSG00000012232	0.11	0.06	0.1	0.07	0.07	0.11	0.08	0.05	0.07	0.03	0.03	0.03
