H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000010803	6.42	2.53	4.51	0.65	2.55	3.6	0.58	1.94	1.69	3.08	0.49	0.37
ENSG00000010810	0.2	0.2	0.08	0.18	0.18	0.15	0.22	0.2	0.19	0.16	0.19	0.13
ENSG00000010818	46.74	57.55	55.58	61.08	52.05	65.22	51.02	68.04	66.64	81.5	73.43	67.55
ENSG00000011007	0.36	0.32	0.44	0.41	0.34	0.24	0.22	0.37	0.3	0.31	0.26	0.42
ENSG00000011009	0.59	0.5	0.56	0.62	1.53	0.38	0.53	0.54	0.56	0.61	0.63	0.66
ENSG00000011021	6.01	7.75	10.46	8.47	8.19	9.79	14.63	13.81	10.62	10.91	14.79	16.15
ENSG00000011028	0.21	0.48	0.39	1.1	1.3	0.57	0.51	0.25	0.3	0.33	0.28	0.3
ENSG00000011052	0.29	0.19	0.27	0.23	0.28	0.29	0.25	0.22	0.24	0.26	0.22	0.14
ENSG00000011105	0.4	0.76	0.55	0.68	0.71	0.59	0.41	0.5	0.45	0.25	0.33	0.27
ENSG00000011114	0.18	0.16	0.18	0.16	0.19	0.35	0.12	0.23	0.16	0.21	0.16	0.13
ENSG00000011132	0.42	1.75	1.49	1.66	1.33	1.17	1.68	3.26	2.06	2.34	1.9	5.45
ENSG00000011143	0.23	0.14	0.07	0.12	0.08	0.45	0.18	0.14	0.19	0.16	0.24	0.22
ENSG00000011198	0.23	0.28	0.28	0.28	0.23	0.18	0.27	0.17	0.23	0.19	0.21	0.22
ENSG00000011243	3.19	3.94	4.57	3.62	3.77	3.85	3.64	2.58	2.51	1.03	1.51	1.84
ENSG00000011258	2.94	2.94	1.97	1.83	2.29	2.03	3.47	2.73	7.64	8.82	8.2	10.85
ENSG00000011260	5.76	6.02	4.47	2.98	3.86	6.17	4.44	5.3	4.61	3.97	3.7	5.87
ENSG00000011275	0.28	0.24	0.29	0.25	0.3	0.26	0.19	0.31	0.28	0.21	0.27	0.28
ENSG00000011295	0.46	0.53	0.76	0.69	0.65	0.77	0.96	0.64	0.67	0.86	2.12	2.8
ENSG00000011304	0.42	2.41	2.23	2.81	0.39	0.41	0.59	1.41	0.5	0.64	0.46	0.36
ENSG00000011376	0.17	0.22	0.25	0.2	0.11	0.29	0.16	0.16	0.33	0.27	0.23	0.18
ENSG00000011405	0.14	2.88	0.47	1.48	3.19	2.07	4.05	3.51	4.28	4.14	2.04	1.24
ENSG00000011422	1.44	2.24	5.06	3.88	6.21	7.56	12.45	11.12	13.93	12.42	19.22	13.92
ENSG00000011426	0.21	0.1	0.13	0.11	0.12	0.18	0.22	0.13	0.21	0.23	0.19	0.2
ENSG00000011451	0.3	0.39	0.66	0.43	0.41	0.26	0.42	0.55	0.45	0.2	0.32	0.31
ENSG00000011454	0.84	0.75	0.64	0.59	0.66	0.5	0.53	0.48	0.51	0.87	0.53	0.88
ENSG00000011478	1.36	1.33	2.6	2.36	1.88	2.63	2.52	3.48	3.11	2	2.68	0.93
ENSG00000011485	1.1	0.39	0.43	0.5	0.46	0.22	0.4	0.24	0.3	0.28	0.37	0.41
ENSG00000011523	0.63	1.09	0.6	2.06	3.85	3.46	4.63	5.16	3.76	3.31	2.83	3.84
ENSG00000011566	0.2	0.33	0.26	0.33	0.24	0.37	0.25	0.29	0.23	0.42	0.24	0.31
ENSG00000011600	2.3	2.17	2.36	2.9	3.43	2.56	4.67	5.65	4.14	5.97	7.93	3.85
ENSG00000011638	0.59	0.44	0.37	0.44	0.49	0.24	0.36	0.41	0.24	0.32	0.53	0.37
ENSG00000012048	6.19	5.76	7.8	8.21	10.74	14.57	15.85	9.19	11.51	12.63	12.3	8.4
ENSG00000012061	1.04	0.61	0.56	0.55	0.47	0.63	0.86	0.39	0.58	0.29	0.55	0.54
ENSG00000012124	15.9	11.86	9.13	10.88	9.09	9.65	7.5	5.19	4.87	4.11	3.37	5.45
ENSG00000012174	0.29	0.24	0.26	0.2	0.25	0.25	0.28	0.31	0.21	0.18	0.27	0.33
ENSG00000012211	19.28	23.68	23.42	17.41	20.15	26.46	21.37	20.87	18.99	9.03	9.85	5.64
ENSG00000012232	0.37	0.37	0.34	0.29	0.28	0.22	0.26	0.23	0.4	0.19	0.48	0.38
ENSG00000012660	0.21	0.14	0.24	0.23	0.23	0.24	0.22	0.24	0.17	0.25	0.15	0.21
ENSG00000012779	5.07	5.7	3.33	5.98	4.57	3.52	4.46	2.82	0.57	1.23	0.57	0.56
ENSG00000012822	0.17	0.19	0.25	0.25	0.26	0.17	0.18	0.15	0.25	0.14	0.17	0.3
ENSG00000012963	0.54	0.43	0.45	1.16	0.44	0.38	0.68	0.48	0.3	0.39	0.58	0.42
ENSG00000012983	0.14	0.16	0.11	0.16	0.13	0.21	0.14	0.14	0.18	0.19	0.14	0.18
ENSG00000013016	0.32	0.21	0.2	0.13	0.13	0.25	0.12	0.21	0.14	0.13	0.13	0.1
ENSG00000013275	0.4	0.33	0.26	0.42	0.3	0.68	0.36	0.39	0.27	0.26	0.38	0.33
ENSG00000013288	0.35	0.28	0.23	0.43	0.25	0.26	0.34	0.23	0.21	0.18	0.21	0.14
ENSG00000013293	0.13	0.13	0.17	0.12	0.17	0.23	0.1	0.15	0.14	0.36	0.1	0.17
ENSG00000013306	6.23	3.89	2.95	2.42	2.19	1.02	2.34	3.04	3.56	0.71	0.43	0.63
ENSG00000013364	38.95	39.71	37.13	42.75	43.86	42.3	44.61	44.6	39.02	31.27	28.59	20.65
ENSG00000013374	0.21	0.14	0.23	0.21	0.14	0.2	0.21	1.13	0.23	1.65	0.18	0.13
ENSG00000013375	0.16	0.16	0.13	0.17	0.12	0.19	0.12	0.15	0.13	0.17	0.14	0.17
ENSG00000013441	0.44	0.4	0.6	0.57	0.48	0.42	0.62	0.54	0.86	2.11	0.56	0.49
ENSG00000013503	0.46	0.29	0.2	0.32	0.26	0.32	0.43	0.23	0.32	0.21	0.21	0.34
ENSG00000013523	0.23	0.21	0.44	0.27	0.3	0.38	0.27	0.27	0.31	0.45	0.28	0.52
ENSG00000013561	0.67	2.41	0.69	0.76	0.99	1.6	0.91	0.71	0.57	1.95	3.6	2.86
ENSG00000013563	0.23	0.33	0.35	0.26	0.3	0.16	0.19	0.44	0.29	0.31	0.17	0.24
ENSG00000013573	0.1	0.14	0.1	0.09	0.11	0.08	0.09	0.06	0.14	0.11	0.17	0.08
ENSG00000013583	0.27	0.27	0.27	0.24	0.25	0.33	0.2	0.38	0.33	0.19	1.33	1.82
ENSG00000013810	15.25	14.93	13.21	14.36	12.84	8.37	9.32	8.5	5.86	5.39	4.06	5.96
ENSG00000014123	0.26	0.18	0.17	0.27	0.19	0.32	0.14	0.14	0.15	0.18	0.25	0.21
ENSG00000014138	0.97	0.49	0.45	0.48	0.53	0.64	0.61	0.51	0.53	0.53	0.69	0.54
ENSG00000014164	0.4	0.88	1.93	2.99	5.17	6.97	5.77	6.85	4.22	5.51	14.99	20.61
ENSG00000014216	0.34	0.41	0.31	0.49	0.53	0.27	0.5	0.45	0.54	0.33	0.53	0.48
ENSG00000014257	0.09	0.17	0.17	0.09	0.09	0.15	0.16	0.1	0.17	0.09	0.31	0.16
ENSG00000014641	0.24	0.2	0.17	0.27	0.15	0.21	0.23	0.15	0.11	0.18	0.2	0.24
