class	time_point	hc	class2	final_class	presence_of_peak	sum_coverage	maSigPro	score_alignment	pvalue_alignment	fdr_alignment	pearson_estimate_mark_level	pearson_pvalue_mark_level	pearson_fdr_mark_level	pearson_estimate_mark_coverage	pearson_pvalue_mark_coverage	pearson_fdr_mark_coverage	group
ENSG00000006831	variable	variable	cluster_1	downregulation	downregulation	yes	2.35798442779492	ns	13.0496	0.589844101559	0.682780472180881	-0.265419687069186	0.404410877269665	0.573961287025242	-0.810873998243373	0.00137394238467298	0.00665526748629775	stable
ENSG00000007038	variable	variable	cluster_1	downregulation	downregulation	yes	1.88566292134831	ns	16.7823	1	1	-0.407446635809058	0.188622765132023	0.352570019555434	0.553441731515803	0.0619431086899473	0.115896369870638	stable
ENSG00000007047	high_expression	flat	cluster_3	bending	bending	yes	5.16184055860629	ns	9.1027	9.999900001e-06	1.77221798737652e-05	0.235069530173592	0.462065568137949	0.627251112924251	0.288920515784002	0.362407926178337	0.463422092490908	stable
ENSG00000007168	high_expression	flat	cluster_3	bending	bending	yes	1.42376543863737	ns	9.9657	9.999900001e-06	1.77221798737652e-05	0.0355852657174386	0.912574576484702	0.948359499051657	0.568684461888763	0.0536724563624533	0.103676291309877	stable
ENSG00000007376	peaking	H006	NA	NA	peaking	yes	8.72050147492625	ns	9.6658	9.999900001e-06	1.77221798737652e-05	0.0513689799596169	0.874027872730273	0.925793934576453	0.602440481821782	0.0381644534772716	0.0800410120509129	stable
ENSG00000007392	variable	variable	cluster_1	downregulation	downregulation	yes	0.744769972937993	ns	12.8774	0.337326626734	0.431739370843803	-0.261093603709591	0.412398639565035	0.581485702494685	0.230015052664214	0.472024193937539	0.568166719860242	stable
ENSG00000007545	moderate_expression	flat	cluster_1	downregulation	downregulation	yes	3.21065636837121	ns	6.112	9.999900001e-06	1.77221798737652e-05	0.270562717313478	0.395016940853836	0.566237147507377	0.70165197863984	0.0109847777588938	0.0308905734791874	stable
ENSG00000007923	variable	variable	cluster_1	downregulation	downregulation	yes	0.762962856774231	ns	12.487	0.477875221248	0.573212729411417	-0.294145857454591	0.35339400635115	0.5282490452345	0.731629724884318	0.0068410589873332	0.0215723196051163	stable
ENSG00000007944	upregulation	NA	NA	NA	upregulation	yes	3.69664836205264	ns	10.702	0.128868711313	0.198537569583232	-0.0108604831559523	0.973277232552113	0.983194889595354	0.280846008290392	0.376571545884736	0.477098267916218	stable
ENSG00000007968	downregulation	NA	NA	NA	downregulation	yes	6.222836027024	ns	14.2993	0.280977190228	0.373488964994345	-0.11686670129643	0.717571743083606	0.825099788629924	0.817653065082774	0.00115872666414953	0.00583237938585801	stable
ENSG00000008018	variable	variable	cluster_1	downregulation	downregulation	yes	1.98012360939431	ns	12.0799	0.577894221058	0.671367273596027	-0.582610617704492	0.0468213944945854	0.142232746520802	-0.777134208035947	0.00293733662390522	0.0116724983887868	stable
