class	time_point	hc	class2	final_class
ENSG00000055130	variable	variable	cluster_1	downregulation	downregulation
ENSG00000055147	moderate_expression	flat	cluster_2	upregulation	upregulation
ENSG00000055163	downregulation	NA	NA	NA	downregulation
ENSG00000055208	variable	variable	cluster_3	bending	bending
ENSG00000055211	upregulation	NA	NA	NA	upregulation
ENSG00000055483	variable	variable	cluster_1	downregulation	downregulation
ENSG00000055955	variable	variable	cluster_1	downregulation	downregulation
ENSG00000056050	variable	variable	cluster_1	downregulation	downregulation
ENSG00000056277	variable	variable	cluster_1	downregulation	downregulation
ENSG00000056586	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000056972	variable	variable	cluster_1	downregulation	downregulation
ENSG00000056998	downregulation	NA	NA	NA	downregulation
ENSG00000057019	variable	variable	cluster_1	downregulation	downregulation
ENSG00000057252	peaking	H072	NA	NA	peaking
ENSG00000057608	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000057757	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000058056	downregulation	NA	NA	NA	downregulation
ENSG00000058091	downregulation	NA	NA	NA	downregulation
ENSG00000058600	downregulation	NA	NA	NA	downregulation
ENSG00000058729	variable	variable	cluster_1	downregulation	downregulation
ENSG00000058799	variable	variable	cluster_2	upregulation	upregulation
ENSG00000058804	downregulation	NA	NA	NA	downregulation
ENSG00000059377	upregulation	NA	NA	NA	upregulation
ENSG00000059378	variable	variable	cluster_3	bending	bending
ENSG00000059573	downregulation	NA	NA	NA	downregulation
ENSG00000059588	downregulation	NA	NA	NA	downregulation
ENSG00000059691	variable	variable	cluster_2	upregulation	upregulation
ENSG00000059728	upregulation	NA	NA	NA	upregulation
ENSG00000059758	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000059769	variable	variable	cluster_1	downregulation	downregulation
ENSG00000060237	variable	variable	cluster_2	upregulation	upregulation
ENSG00000060339	variable	variable	cluster_1	downregulation	downregulation
ENSG00000060491	variable	variable	cluster_3	bending	bending
ENSG00000060558	bending	H036	NA	NA	bending
ENSG00000060642	variable	variable	cluster_2	upregulation	upregulation
ENSG00000060688	downregulation	NA	NA	NA	downregulation
ENSG00000060749	moderate_expression	flat	cluster_1	downregulation	downregulation
ENSG00000060971	variable	variable	cluster_2	upregulation	upregulation
ENSG00000060982	downregulation	NA	NA	NA	downregulation
ENSG00000061273	variable	variable	cluster_1	downregulation	downregulation
ENSG00000061656	variable	variable	cluster_3	bending	bending
ENSG00000061794	variable	variable	cluster_1	downregulation	downregulation
ENSG00000061936	variable	variable	cluster_1	downregulation	downregulation
ENSG00000062038	peaking	H012	NA	NA	peaking
ENSG00000062194	variable	variable	cluster_3	bending	bending
ENSG00000062485	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000062524	variable	variable	cluster_1	downregulation	downregulation
ENSG00000062582	variable	variable	cluster_1	downregulation	downregulation
ENSG00000062598	variable	variable	cluster_2	upregulation	upregulation
ENSG00000062650	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000062716	upregulation	NA	NA	NA	upregulation
ENSG00000062725	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000062822	variable	variable	cluster_1	downregulation	downregulation
ENSG00000063169	moderate_expression	flat	cluster_1	downregulation	downregulation
ENSG00000063177	high_expression	flat	cluster_3	bending	bending
ENSG00000063180	upregulation	NA	NA	NA	upregulation
ENSG00000063241	peaking	H006	NA	NA	peaking
ENSG00000063244	variable	variable	cluster_1	downregulation	downregulation
ENSG00000063438	variable	variable	cluster_3	bending	bending
ENSG00000063587	variable	variable	cluster_1	downregulation	downregulation
ENSG00000063601	variable	variable	cluster_3	bending	bending
ENSG00000063660	peaking	H012	NA	NA	peaking
ENSG00000063854	variable	variable	cluster_2	upregulation	upregulation
ENSG00000064012	variable	variable	cluster_1	downregulation	downregulation
ENSG00000064102	variable	variable	cluster_1	downregulation	downregulation
ENSG00000064199	variable	variable	cluster_1	downregulation	downregulation
ENSG00000064201	upregulation	NA	NA	NA	upregulation
ENSG00000064225	upregulation	NA	NA	NA	upregulation
ENSG00000064313	variable	variable	cluster_1	downregulation	downregulation
ENSG00000064419	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000064547	downregulation	NA	NA	NA	downregulation
ENSG00000064601	upregulation	NA	NA	NA	upregulation
ENSG00000064651	peaking	H006	NA	NA	peaking
ENSG00000064652	upregulation	NA	NA	NA	upregulation
ENSG00000064666	bending	H012	NA	NA	bending
ENSG00000064687	bending	H018	NA	NA	bending
ENSG00000064703	variable	variable	cluster_1	downregulation	downregulation
ENSG00000064726	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000064763	downregulation	NA	NA	NA	downregulation
ENSG00000064886	variable	variable	cluster_3	bending	bending
ENSG00000064932	variable	variable	cluster_2	upregulation	upregulation
ENSG00000064933	variable	variable	cluster_1	downregulation	downregulation
ENSG00000064995	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000064999	variable	variable	cluster_3	bending	bending
ENSG00000065000	high_expression	flat	cluster_3	bending	bending
ENSG00000065029	high_expression	flat	cluster_3	bending	bending
ENSG00000065054	variable	variable	cluster_2	upregulation	upregulation
ENSG00000065057	variable	variable	cluster_1	downregulation	downregulation
ENSG00000065060	variable	variable	cluster_3	bending	bending
ENSG00000065150	downregulation	NA	NA	NA	downregulation
ENSG00000065183	downregulation	NA	NA	NA	downregulation
ENSG00000065328	downregulation	NA	NA	NA	downregulation
ENSG00000065357	variable	variable	cluster_2	upregulation	upregulation
ENSG00000065413	upregulation	NA	NA	NA	upregulation
ENSG00000065427	downregulation	NA	NA	NA	downregulation
ENSG00000065457	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000065518	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000065526	variable	variable	cluster_1	downregulation	downregulation
