ENSG00000107562.16 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000137842.6 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072
ENSG00000102225.15 	H000;H003;H006;H012;H036;H048;H072;H120;H168
ENSG00000152492.13 	H009;H018;H024;H036;H048
ENSG00000153944.10 	H120;H168
ENSG00000198752.10 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000037965.5 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000163251.3 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072
ENSG00000128714.5 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000065534.18 	H072;H120;H168
ENSG00000104998.3 	H024;H048;H072;H120
ENSG00000008197.4 	H000;H003;H006;H009;H012;H024;H036;H048;H120
ENSG00000175414.6 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000149177.12 	H000;H003;H006;H009;H012;H024;H036
ENSG00000198722.13 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072
ENSG00000186310.9 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000124222.21 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000170545.16 	H000;H003;H009;H024;H036;H048;H072;H120;H168
