H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000026559	0.05	0.04	0.05	0.06	0.05	0.05	0.04	0.06	0.06	0.05	0.05	0.05
ENSG00000026751	0.4	0.46	0.32	0.31	0.42	0.4	0.33	0.46	0.38	0.49	0.44	0.59
ENSG00000027075	0.63	0.59	0.72	0.81	0.68	0.78	0.56	0.67	0.77	0.58	0.65	0.6
ENSG00000027697	0.06	0.05	0.04	0.05	0.04	0.05	0.05	0.07	0.05	0.07	0.06	0.07
ENSG00000028116	0.03	0.04	0.04	0.03	0.03	0.03	0.04	0.02	0.02	0.03	0.03	0.04
ENSG00000028137	0.03	0.02	0.03	0.03	0.03	0.03	0.03	0.04	0.04	0.06	0.07	0.12
ENSG00000028277	0.34	0.39	0.42	0.35	0.11	0.12	0.42	0.36	0.39	0.31	0.14	0.26
ENSG00000028310	0.35	0.42	0.38	0.36	0.3	0.33	0.32	0.37	0.36	0.34	0.24	0.18
ENSG00000028528	0.05	0.04	0.05	0.04	0.04	0.04	0.04	0.04	0.06	0.05	0.06	0.04
ENSG00000028839	0.05	0.05	0.05	0.05	0.04	0.06	0.05	0.07	0.07	0.07	0.09	0.05
ENSG00000029363	0.06	0.1	0.08	0.07	0.08	0.08	0.08	0.07	0.07	0.08	0.09	0.14
ENSG00000029364	0.09	0.14	0.11	0.1	0.09	0.1	0.12	0.08	0.07	0.06	0.06	0.03
ENSG00000029725	0.04	0.05	0.05	0.04	0.05	0.06	0.05	0.05	0.04	0.04	0.05	0.05
ENSG00000029993	0.12	0.13	0.18	0.13	0.1	0.12	0.11	0.18	0.09	0.25	0.14	0.17
ENSG00000030066	0.09	0.06	0.06	0.06	0.07	0.07	0.07	0.23	0.07	0.06	0.06	0.06
