gene_id	H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000138495.6 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000270800.1 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000149218.4 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000105568.17 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000113569.15 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000125877.12 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000006118.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000125384.6 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000172992.11 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000104412.7 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000110871.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000205572.9 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000013583.8 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000170860.3 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000173928.2 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000124469.10 	1	1	1	1	1	1	0	1	1	0	0	0
ENSG00000113269.13 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000025770.18 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000111206.12 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000175221.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000106404.13 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000149547.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000119820.10 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000135124.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000165698.15 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000197122.11 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000271601.3 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000126267.8 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000198060.9 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000181555.19 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000101439.8 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000108592.16 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000119844.15 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000198105.11 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000153066.12 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000145439.11 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000124523.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000176973.7 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000140650.11 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000149923.13 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000070718.11 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000104884.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000139131.12 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000100209.9 	1	1	1	1	1	1	1	1	1	1	1	1
